#{"t_start": 1690330778.5383134, "env_id": null}
r,l,t
23.934301,150,1824.24756
295.125605,154,1826.858608
147.321963,201,1830.255816
46.230831,201,1833.641261
138.722404,22,1834.027257
29.799725,201,1837.422884
166.24265,46,1838.215516
221.407489,86,1839.685134
207.437092,63,1840.805262
146.752795,27,1841.284863
243.981033,100,1842.979564
277.908307,137,1845.277788
273.616575,141,1847.72947
210.049597,191,1851.021559
251.696703,95,1852.684249
182.9591,53,1853.596117
142.849149,28,1854.094853
160.023289,41,1854.811714
146.534938,36,1855.443087
233.517607,84,1856.921353
169.544838,39,1857.605825
210.800176,67,1858.750024
158.110844,42,1859.477832
181.187759,57,1860.463466
228.950051,115,1862.422583
302.667621,134,1864.689902
137.57575,201,1868.076967
197.407433,60,1869.115254
141.265953,27,1869.610944
244.66829,90,1871.172514
179.186176,102,1872.90399
128.363911,16,1873.196953
227.218193,76,1874.504555
114.515401,20,1874.856118
235.319665,76,1876.143195
214.219699,167,1879.013353
6.09589,201,1882.420024
205.147649,89,1883.947324
161.371901,44,1884.713254
14.101995,201,1888.157255
37.288899,120,1890.219453
-14.774908,99,1891.958271
138.140649,201,1895.362264
135.282217,24,1895.794061
162.238498,40,1896.489707
83.404317,78,1897.816048
-117.647034,201,1901.218638
161.127258,37,1901.871962
176.22363,55,1902.818511
134.916448,38,1903.483117
277.518262,115,1905.461936
283.539274,117,1907.466714
5.202103,201,1910.859347
172.899274,123,1912.929458
115.502718,15,1913.21213
186.611501,49,1914.05924
159.204598,45,1914.832213
200.002774,197,1918.206003
276.436455,114,1920.146745
254.810587,116,1922.199811
135.284944,26,1922.665025
164.828444,44,1923.430086
246.123756,89,1924.991958
314.740676,148,1927.481191
281.832656,109,1929.342677
169.742823,52,1930.254302
219.900621,78,1931.57956
280.346689,129,1933.788402
225.035924,145,1936.24899
239.253055,85,1937.69142
274.360597,147,1940.179963
-152.349056,201,1943.587474
107.992234,201,1946.979403
187.347511,57,1947.950874
255.352989,97,1949.584642
217.751724,73,1950.881481
258.288686,122,1952.984516
223.32947,82,1954.379844
204.662979,66,1955.526855
115.389313,14,1955.78914
212.570158,98,1957.466301
259.024845,106,1959.294582
