#{"t_start": 1689531136.1129184, "env_id": null}
r,l,t
101.299998,82,1221.14602
104.799999,120,1223.218118
-18.9,26,1223.680936
100.399998,127,1225.856122
105.799999,109,1227.739315
103.399999,88,1229.268669
-19.900001,19,1229.618825
97.799998,116,1231.613086
-17.8,61,1232.663316
101.899999,88,1234.191569
-17.8,70,1235.391592
102.599999,62,1236.507613
103.499999,164,1239.297588
-18.3,17,1239.616241
98.199998,111,1241.531821
-18.5,51,1242.41208
97.700003,133,1244.729137
102.999999,78,1246.054147
-22.2,137,1248.397774
96.699998,138,1250.75903
103.399999,58,1251.791564
103.899999,135,1254.087775
103.799999,173,1257.023008
102.099999,102,1258.787
-20.200001,19,1259.13203
98.399998,119,1261.182215
101.499998,39,1261.86357
97.199998,116,1263.86059
104.199999,78,1265.223042
-19.4,117,1267.270291
99.599998,98,1268.959239
-17.5,67,1270.106038
104.299999,73,1271.383897
-19.6,34,1271.982456
98.699998,62,1273.04422
101.199998,99,1274.754901
-16.9,133,1277.028582
101.899999,49,1277.912967
-18.2,96,1279.531858
103.099999,82,1280.964599
102.199999,28,1281.465435
104.499999,87,1282.993042
-17.6,36,1283.62577
101.399998,56,1284.617844
100.399998,55,1285.570824
105.599999,113,1287.51935
103.499999,128,1289.716927
104.799999,75,1290.994689
-19.8,5,1291.146881
102.999999,63,1292.225714
-15.2,114,1294.190016
101.499998,18,1294.522709
-16.500001,116,1296.514714
101.099998,14,1296.764977
101.499998,18,1297.097382
102.799999,64,1298.247051
107.099999,125,1300.376471
104.999999,104,1302.140754
-17.7,35,1302.782619
102.099999,27,1303.272406
102.299999,44,1304.033013
104.499999,138,1306.398711
-15.3,68,1307.592528
100.699998,127,1309.774027
98.800003,87,1311.287405
104.299999,64,1312.383182
101.799998,45,1313.158808
104.299999,106,1314.989744
-16.3,67,1316.167134
102.999999,78,1317.502703
-18.6,32,1318.097003
101.799998,33,1318.685007
101.999999,53,1319.598514
100.099998,1,1319.65215
99.799998,82,1321.07985
-19.5,83,1322.522387
-18.4,16,1322.827004
100.599998,114,1324.784214
101.599998,61,1325.831238
103.999999,67,1327.012311
103.799999,80,1328.372312
104.299999,79,1329.745881
-17.8,58,1330.739778
102.099999,93,1332.344509
105.400003,99,1334.04453
99.299998,74,1335.304334
100.199998,74,1336.598024
100.699998,37,1337.248838
100.199998,98,1338.934597
100.399998,61,1340.017429
101.199998,24,1340.451775
102.699999,105,1342.260881
104.499999,93,1343.809189
103.399999,79,1345.185179
101.799998,39,1345.868073
105.699999,69,1347.08203
102.699999,69,1348.265011
101.999999,104,1350.059748
